dteday,season,year,month,hour,holiday,weekday,workingday,weathersit,casual,registered,total_rentals,time_of_day
2011-01-01,Spring,0,Januari,0,No,Saturday,No,Clear,3,13,16,Night
2011-01-01,Spring,0,Januari,1,No,Saturday,No,Clear,8,32,40,Night
2011-01-01,Spring,0,Januari,2,No,Saturday,No,Clear,5,27,32,Night
2011-01-01,Spring,0,Januari,3,No,Saturday,No,Clear,3,10,13,Night
2011-01-01,Spring,0,Januari,4,No,Saturday,No,Clear,0,1,1,Night
2011-01-01,Spring,0,Januari,5,No,Saturday,No,Mist,0,1,1,Night
2011-01-01,Spring,0,Januari,6,No,Saturday,No,Clear,2,0,2,Morning
2011-01-01,Spring,0,Januari,7,No,Saturday,No,Clear,1,2,3,Morning
2011-01-01,Spring,0,Januari,8,No,Saturday,No,Clear,1,7,8,Morning
2011-01-01,Spring,0,Januari,9,No,Saturday,No,Clear,8,6,14,Morning
2011-01-01,Spring,0,Januari,10,No,Saturday,No,Clear,12,24,36,Morning
2011-01-01,Spring,0,Januari,11,No,Saturday,No,Clear,26,30,56,Morning
2011-01-01,Spring,0,Januari,12,No,Saturday,No,Clear,29,55,84,Afternoon
2011-01-01,Spring,0,Januari,13,No,Saturday,No,Mist,47,47,94,Afternoon
2011-01-01,Spring,0,Januari,14,No,Saturday,No,Mist,35,71,106,Afternoon
2011-01-01,Spring,0,Januari,15,No,Saturday,No,Mist,40,70,110,Afternoon
2011-01-01,Spring,0,Januari,16,No,Saturday,No,Mist,41,52,93,Afternoon
2011-01-01,Spring,0,Januari,17,No,Saturday,No,Mist,15,52,67,Afternoon
2011-01-01,Spring,0,Januari,18,No,Saturday,No,Light rain,9,26,35,Evening
2011-01-01,Spring,0,Januari,19,No,Saturday,No,Light rain,6,31,37,Evening
2011-01-01,Spring,0,Januari,20,No,Saturday,No,Mist,11,25,36,Evening
2011-01-01,Spring,0,Januari,21,No,Saturday,No,Mist,3,31,34,Evening
2011-01-01,Spring,0,Januari,22,No,Saturday,No,Mist,11,17,28,Evening
2011-01-01,Spring,0,Januari,23,No,Saturday,No,Mist,15,24,39,Evening
2011-01-02,Spring,0,Januari,0,No,Sunday,No,Mist,4,13,17,Night
2011-01-02,Spring,0,Januari,1,No,Sunday,No,Mist,1,16,17,Night
2011-01-02,Spring,0,Januari,2,No,Sunday,No,Mist,1,8,9,Night
2011-01-02,Spring,0,Januari,3,No,Sunday,No,Mist,2,4,6,Night
2011-01-02,Spring,0,Januari,4,No,Sunday,No,Mist,2,1,3,Night
2011-01-02,Spring,0,Januari,6,No,Sunday,No,Light rain,0,2,2,Morning
2011-01-02,Spring,0,Januari,7,No,Sunday,No,Mist,0,1,1,Morning
2011-01-02,Spring,0,Januari,8,No,Sunday,No,Light rain,0,8,8,Morning
2011-01-02,Spring,0,Januari,9,No,Sunday,No,Mist,1,19,20,Morning
2011-01-02,Spring,0,Januari,10,No,Sunday,No,Mist,7,46,53,Morning
2011-01-02,Spring,0,Januari,11,No,Sunday,No,Mist,16,54,70,Morning
2011-01-02,Spring,0,Januari,12,No,Sunday,No,Mist,20,73,93,Afternoon
2011-01-02,Spring,0,Januari,13,No,Sunday,No,Mist,11,64,75,Afternoon
2011-01-02,Spring,0,Januari,14,No,Sunday,No,Light rain,4,55,59,Afternoon
